"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-01","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21","H,,S","27",",,W","14",",,W","  270",",,W","  270",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-02","5.82",",,W"," 1242",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19","H,,S","25",",,W","14",",,W","  300",",,W","  280",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-03","10.96",",,W"," 2221",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21","H,,S","31",",,W","19",",,W","  200",",,W","  200",",,W","21.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-04","18.34",",,W"," 1813",",,W","0.00","T,,W,2400","0.2",",,W,2400","0.0",",,W,2400","29","H,,S","39",",,W","16",",,W","  290",",,W","  280",",,W","35.1",",,W","51.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-05","13.42",",,W"," 0054",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20","H,,S","29",",,W","12",",,W","  310",",,W","  330",",,W","25.9",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-06","9.62",",,W"," 1212",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22","H,,S","32",",,W","15",",,W","  230",",,W","  240",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-07","13.42",",,W"," 1745",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","33","H,,S","50",",,W","24",",,W","  220",",,W","  220",",,W","23.9",",,W","33.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-08","9.62",",,W"," 0142",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","55",",,W","38",",,W","  200",",,W","  240",",,W","16.1",",,W","27.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-09","10.74",",,W"," 0143",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","49","H,,S","53",",,W","42",",,W","  250",",,W","  200",",,W","18.1",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-10","9.62",",,W"," 0040",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","38","H,,S","42",",,W","30",",,W","  280",",,W","  280",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,
